CustomerID,recency,frequency,monetary,r_score,f_score,m_score,customer_segment
CUST_1452,48,7,4756.78,3,5,5,Loyal Customers
CUST_1453,65,7,2251.29,2,5,5,At Risk / Can't Lose Them
CUST_1454,8,4,1685.9,5,2,4,Promising / New
CUST_1455,12,10,8609.16,5,5,5,Champions
CUST_1456,52,5,836.19,3,3,2,About to Sleep / Average
CUST_1457,20,3,1286.37,4,2,3,Promising / New
CUST_1458,9,5,409.26,5,3,1,About to Sleep / Average
CUST_1459,154,5,487.89,1,3,1,At Risk / Can't Lose Them
CUST_1460,0,4,353.16,5,2,1,Promising / New
CUST_1461,19,4,1245.51,4,2,3,Promising / New
CUST_1462,40,8,4285.85,3,5,5,Loyal Customers
CUST_1463,28,4,323.42999999999995,4,2,1,Promising / New
CUST_1464,32,5,623.37,3,3,2,About to Sleep / Average
CUST_1465,55,3,544.39,3,2,2,Promising / New
CUST_1466,41,5,1194.2,3,3,3,Loyal Customers
CUST_1467,28,6,2245.09,4,4,5,Champions
CUST_1468,42,4,741.53,3,3,2,About to Sleep / Average
CUST_1469,39,5,1051.59,3,3,3,Loyal Customers
CUST_1470,5,4,2330.44,5,3,5,Loyal Customers
CUST_1471,42,7,1013.28,3,5,3,Loyal Customers
CUST_1472,41,6,1441.39,3,4,4,Loyal Customers
CUST_1473,77,6,583.8299999999999,2,4,2,At Risk / Can't Lose Them
CUST_1474,4,5,488.52,5,3,1,About to Sleep / Average
CUST_1475,53,1,34.82,3,1,1,Promising / New
CUST_1476,71,4,527.31,2,3,2,At Risk / Can't Lose Them
CUST_1477,9,4,906.43,5,3,3,Loyal Customers
CUST_1478,69,7,2259.9,2,5,5,At Risk / Can't Lose Them
CUST_1479,133,4,379.15999999999997,1,3,1,At Risk / Can't Lose Them
CUST_1480,170,6,1351.99,1,4,4,At Risk / Can't Lose Them
CUST_1481,31,3,296.47,4,2,1,Promising / New
CUST_1482,312,1,86.26,1,1,1,Hibernating / Lost
CUST_1483,58,4,543.93,2,3,2,At Risk / Can't Lose Them
CUST_1484,15,3,819.17,5,2,2,Promising / New
CUST_1485,28,8,2786.34,4,5,5,Champions
CUST_1486,49,4,683.7,3,3,2,About to Sleep / Average
CUST_1487,16,2,1139.37,4,1,3,Promising / New
CUST_1488,45,5,550.6700000000001,3,3,2,About to Sleep / Average
CUST_1489,61,5,1215.25,2,4,3,At Risk / Can't Lose Them
CUST_1490,25,4,541.09,4,3,2,About to Sleep / Average
CUST_1491,174,2,151.16,1,1,1,Hibernating / Lost
CUST_1492,16,2,730.27,4,1,2,Promising / New
CUST_1493,134,8,1614.81,1,5,4,At Risk / Can't Lose Them
CUST_1494,57,6,1457.0700000000002,2,4,4,At Risk / Can't Lose Them
CUST_1495,83,6,926.53,2,4,3,At Risk / Can't Lose Them
CUST_1496,18,15,2142.07,4,5,5,Champions
CUST_1497,36,2,481.04999999999995,3,1,1,Promising / New
CUST_1498,3,7,1755.58,5,5,4,Champions
CUST_1499,38,6,1147.18,3,4,3,Loyal Customers
